Temperature,Humidity,Nutrition,Time (hours since planting),Time (days since planting),Seed Possibility of Growth,Light Exposure (lux),Cumulative Lettuce Growth
28.21746709970641,75.73550442106921,2.398870079729188,641,26,0.9,6340,85.13847637348955
37.847540819948506,63.442377479589304,1.3235271231805856,1059,44,0.9,101746,78.26965229318884
22.32629718522504,84.4820881168514,1.3981106418802531,1192,49,0.9,1187,93.64258097278126
35.4877128924949,65.38835512490682,3.2438930511604123,1092,45,0.9,898,98.69389808549565
24.554613039386492,78.14636041495706,2.1663260473486283,919,38,0.9,49730,96.14940998136296
28.887720051215336,75.98415552317796,-0.010847260613684007,55,2,0.9,98779,2.061939081534353
18.866666653683556,84.2740095748419,0.2297743555150321,449,18,0.9,4194,2.5664792644608196
30.960588181096544,72.32018488100384,2.534396068115293,176,7,0.9,1642,24.17252300161881
33.37889019360739,68.74192601211732,2.3714828170404028,59,2,0.9,46842,4.3994197394080485
22.08965503704036,83.11470579783423,4.244794275670581,244,10,0.9,26030,62.20433757378072
34.182333021750786,65.15719805180674,0.49687766117304777,192,8,0.9,104799,2.563757640409501
31.089643847160794,71.06080422025914,0.1138700412333021,652,27,0.9,58773,5.46256555702199
28.948571072059007,70.05145428265222,0.8791276596352124,1044,43,0.9,5741,54.035539384583096
18.826584549735323,83.79029246748107,-0.316623352439337,505,21,0.9,92670,0.0
27.408431597199836,77.6915920431591,4.0079524252243015,1083,45,0.9,16289,100.0
38.71791382634534,62.31644973577082,1.4746047604859127,807,33,0.9,5192,65.84757504454335
24.24761733912007,79.19591500188486,2.8211859623548983,591,24,0.9,7885,94.830455599381
24.340089909211706,79.48619222728901,1.8485025087719147,762,31,0.9,7375,81.36045230574653
30.493833983756453,70.17420455250755,3.543945607523666,47,1,0.9,4586,7.147209563334867
39.077473041761685,57.689299789690025,0.10886514914662752,830,34,0.9,9336,5.961554402444851
30.63011396540785,72.00381425834834,3.907469303529743,741,30,0.9,6555,100.0
34.62149665526702,66.71247748263463,-0.04182828764040735,750,31,0.9,37113,0.0
21.79025112623371,80.97556364364652,0.7357989353188279,740,30,0.9,8533,29.819172842481333
29.773324049797132,69.76668790936613,2.626578604831163,761,31,0.9,2662,100.0
34.221431100496986,67.18605539508948,3.569946015725024,1086,45,0.9,12823,100.0
20.3102862649682,84.63553296657729,0.707793164939374,73,3,0.9,103868,4.080676092577814
28.85714781282231,77.79439345870647,1.1498492774270275,1184,49,0.9,27874,83.43063451754016
28.493235084718435,72.37829411847657,2.2278834795962847,239,9,0.9,8567,26.808497724230627
19.21332222279858,83.61805023396822,3.9282768064445803,169,7,0.9,896,37.53197939273784
23.31943670959044,79.36653081643382,4.01851331470877,867,36,0.9,94695,98.5627159906532
29.468915284273645,71.08119198819571,4.3655090941583605,531,22,0.9,42143,100.0
31.37076303233339,71.57001712544199,1.5756215218830172,790,32,0.9,7440,70.02922953895737
26.433777813986563,76.43544120870366,0.26684969363613376,690,28,0.9,2105,13.916301746571946
28.534595234699445,76.37069518253757,2.1841104618169154,773,32,0.9,43142,99.68498012581185
26.836486917848884,74.99125330066308,2.616359250724067,652,27,0.9,87557,99.89412814392148
38.56360657542963,58.54382450711282,2.4521695181775947,352,14,0.9,4284,50.0010180981294
36.30994157769298,59.165096653204934,1.576426592123997,843,35,0.9,89892,76.17830815475727
27.581339119318713,76.20305000253106,0.6362117957990644,114,4,0.9,9651,0.0
28.222128928172154,71.93837750554304,2.6302286095317866,11,0,0.9,70538,0.9608531088287551
29.886665324920763,73.36051585235938,2.0191072201240234,1119,46,0.9,2595,100.0
17.643299562048238,85.22568742805366,1.445861679766281,1147,47,0.9,3289,0.0
30.982779414903376,70.47420472270414,1.8461277642835534,929,38,0.9,765,97.09712567233551
33.53536542944847,66.83625420047785,-0.20249586194407537,268,11,0.9,44695,0.7153621313108562
27.313620076745753,75.76271254115801,3.433526430307042,1101,45,0.9,1291,98.60501799979562
23.32339876828478,80.07700559875832,3.5583749264266578,1112,46,0.9,85211,100.0
30.34434369744445,72.94767240455373,2.2570839204989737,626,26,0.9,84656,85.53035405866034
28.063371381596504,76.2558445456838,1.370274081470706,779,32,0.9,40309,56.55090441852865
28.327331742148605,74.54708259190106,2.0353419138991393,1024,42,0.9,3248,100.0
27.559936634956195,76.97183828250368,1.3473588912829624,663,27,0.9,1645,48.8371956366601
24.79649409609899,83.36892244597277,1.2272314827568365,445,18,0.9,6822,29.037272461067246
29.18236729539852,73.46973526218262,1.4128620530633327,114,4,0.9,2843,9.62016559203951
34.76155109996525,67.6095194652465,1.0757877953618813,422,17,0.9,3977,24.45028520220912
31.759143919875577,72.51041975655247,2.1486210769653447,381,15,0.9,4173,48.63977229385032
